"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US170310619014","Block Group 4, Census Tract 619.01, Cook County, Illinois","-","**",
"1500000US170310619021","Block Group 1, Census Tract 619.02, Cook County, Illinois","94353","18868",
"1500000US170310619022","Block Group 2, Census Tract 619.02, Cook County, Illinois","76732","11056",
"1500000US170310619023","Block Group 3, Census Tract 619.02, Cook County, Illinois","59219","20654",
"1500000US170310619024","Block Group 4, Census Tract 619.02, Cook County, Illinois","-","**",
"1500000US170310620001","Block Group 1, Census Tract 620, Cook County, Illinois","96397","15468",
"1500000US170310620002","Block Group 2, Census Tract 620, Cook County, Illinois","73625","24822",
"1500000US170310621001","Block Group 1, Census Tract 621, Cook County, Illinois","157604","26745",
"1500000US170310621002","Block Group 2, Census Tract 621, Cook County, Illinois","86429","20203",
"1500000US170310621003","Block Group 3, Census Tract 621, Cook County, Illinois","67127","28771",
"1500000US170310622001","Block Group 1, Census Tract 622, Cook County, Illinois","143125","41825",
"1500000US170310622002","Block Group 2, Census Tract 622, Cook County, Illinois","158194","48580",
"1500000US170310623001","Block Group 1, Census Tract 623, Cook County, Illinois","166094","19778",
"1500000US170310624001","Block Group 1, Census Tract 624, Cook County, Illinois","124355","21626",
"1500000US170310625001","Block Group 1, Census Tract 625, Cook County, Illinois","160208","40867",
"1500000US170310626001","Block Group 1, Census Tract 626, Cook County, Illinois","182563","38368",
"1500000US170310627001","Block Group 1, Census Tract 627, Cook County, Illinois","204750","94527",
"1500000US170310627002","Block Group 2, Census Tract 627, Cook County, Illinois","192708","132220",
"1500000US170310627003","Block Group 3, Census Tract 627, Cook County, Illinois","129423","40957",
"1500000US170310628001","Block Group 1, Census Tract 628, Cook County, Illinois","143958","67528",
"1500000US170310628002","Block Group 2, Census Tract 628, Cook County, Illinois","195357","53660",
"1500000US170310628003","Block Group 3, Census Tract 628, Cook County, Illinois","162212","40744",
"1500000US170310629001","Block Group 1, Census Tract 629, Cook County, Illinois","109091","46573",
"1500000US170310629002","Block Group 2, Census Tract 629, Cook County, Illinois","122768","44722",
"1500000US170310629003","Block Group 3, Census Tract 629, Cook County, Illinois","115395","38714",
"1500000US170310630001","Block Group 1, Census Tract 630, Cook County, Illinois","81010","27549",
"1500000US170310630002","Block Group 2, Census Tract 630, Cook County, Illinois","109821","45327",
"1500000US170310630003","Block Group 3, Census Tract 630, Cook County, Illinois","105417","24524",
"1500000US170310631001","Block Group 1, Census Tract 631, Cook County, Illinois","104444","24439",
"1500000US170310631002","Block Group 2, Census Tract 631, Cook County, Illinois","86250","29588",
"1500000US170310632001","Block Group 1, Census Tract 632, Cook County, Illinois","57546","15830",
"1500000US170310632002","Block Group 2, Census Tract 632, Cook County, Illinois","124470","4439",
"1500000US170310632003","Block Group 3, Census Tract 632, Cook County, Illinois","53750","34321",
