GEOID,neighbors
350,"170316909005,170316909003,170316909002,170316914003,170316914001,170316914002,170316914005"
351,"170314402014,170316913001,170314403002,170316913002,170316910002,170316909005,170316909003,170316914003,170314402012,170316914004"
352,"170316915001,170314401014,170314401011,170314402011,170316915002,170316914001,170316914002"
353,"170316915003,170318418001,170316915002,170316909002,170316914001,170316914002"
354,"170317401002,170318219004,170318219003,170317401003,170317402004,170317205001,170317402003,170318233041"
355,"170317403002,170317401001,170317401003,170317402004,170317402003"
356,"170317403002,170318233041,170317401003,170317404002,170317404001"
357,"170318227012,170318227021,170317402002,170318217004,170318217005,170318219005,170317402004,170318217003,170318227011,170318228022"
358,"170317403004,170317403005,170318227021,170317402001,170318228022,170317402004,170317402003"
359,"170318016073,170318016031,170318025056,170318025061,170318016063,170318026094,170318025053,170318016072"
360,"170318016052,170318016053,170318016011,170318017012"
361,"170318017012,170318017011,170318016064,170318016051,170318016061,170318016053,170318016054"
362,"170318016012,170318016055,170318016051,170318016052,170318016054,170318016011"
